
Server : Dotaaa || Channel: #test || User : Pokécord#4503 said "The wild pokémon is St\_ut\_and!"
Server : Dotaaa || Channel: #test || User : Pokécord#4503 said "Congratulations <@223616371148193792>! You caught a level 10 Stoutland! Added to Pokédex."
Server : Dotaaa || Channel: #test || User : Pokécord#4503 said ""
Congratulations NotMinami!
Your Musharna is now level 87!Server : Dotaaa || Channel: #test || User : Pokécord#4503 said "There are no wild pokémon in this channel!"
Server : Dotaaa || Channel: #test || User : Pokécord#4503 said ""
Server : Dotaaa || Channel: #test || User : Pokécord#4503 said "Congratulations <@223616371148193792>! You caught a level 41 Azumarill! Added to Pokédex."
Server : Dotaaa || Channel: #test || User : Pokécord#4503 said ""
Server : Dotaaa || Channel: #test || User : Pokécord#4503 said "This is the wrong pokémon!"
Server : Dotaaa || Channel: #test || User : Pokécord#4503 said "Congratulations <@223616371148193792>! You caught a level 30 Doublade! Added to Pokédex."
Server : Dotaaa || Channel: #test || User : Pokécord#4503 said ""
